Code,Product,Expanded description,Ingredients,Allergens,Storage,Suggested uses,Why we stock it,Source URL
152566,Wholewheat Penne - in paper,"Wholewheat tube pasta with ridges that catch sauces, packed in paper.",Organic whole durum WHEAT semolina; water.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Use with tomato or creamy sauces, pasta bakes and salads.",A dependable wholegrain pasta in lower-plastic packaging.,https://www.infinityfoodswholesale.coop/food-cupboard/pasta
200509,Rapeseed Oil – Cold Pressed,"Cold-pressed organic rapeseed oil with a mild, slightly nutty flavour.",Organic rapeseed oil.,No declarable allergens in the ingredients.,Store away from heat and direct light.,"Use for dressings, baking and general cooking according to the pack guidance.",A versatile oil with a relatively neutral flavour.,https://www.infinityfoodswholesale.coop/food-cupboard/oils-and-fats/organic-rapeseed-oil-clearspring-6x1l
200516,Tunisian Olive Oil - Extra Virgin,"Extra virgin olive oil made from Tunisian olives, with a fruity flavour suited to everyday use.",Extra virgin olive oil.,No declarable allergens in the ingredients.,"Store in a cool, dark place. The oil may cloud at low temperatures without affecting quality.","Use for dressings, dipping, finishing and moderate-temperature cooking.",A good-value organic olive oil from an established olive-growing region.,https://www.infinityfoodswholesale.coop/food-cupboard/oils-and-fats
250280,Crunchy Peanut Butter - jumbo,Peanut butter made with pieces of roasted peanut for a pronounced crunch.,PEANUTS; check the jar for any added salt or formulation changes.,Contains PEANUTS.,"Store in a cool, dry place. Stir if natural oil separation occurs.","Spread on toast or use in porridge, sauces, baking and dressings.",A large-format staple with no need for unnecessary sweeteners.,https://www.infinityfoodswholesale.coop/food-cupboard/nut-and-seed-butters
250282,Smooth Peanut Butter - jumbo,Smoothly ground roasted peanut butter with a creamy texture.,PEANUTS; check the jar for any added salt or formulation changes.,Contains PEANUTS.,"Store in a cool, dry place. Stir if natural oil separation occurs.","Spread on toast or use in porridge, sauces, baking and smoothies.",A useful high-protein staple in an economical larger jar.,https://www.infinityfoodswholesale.coop/food-cupboard/nut-and-seed-butters
370516,Cyder Vinegar,Apple cider vinegar with a bright acidity for cooking and dressings.,Cider vinegar.,Contains SULPHITES only if declared on the current bottle; check the label.,Store in a cool place away from direct sunlight.,"Use in salad dressings, chutneys, marinades and pickling.",A versatile vinegar made from apples rather than imported wine grapes.,https://www.infinityfoodswholesale.coop/food-cupboard/vinegars
390105,Tomatoes Chopped,"Organic chopped tomatoes in tomato juice, ready to add directly to cooking.",Chopped tomatoes; tomato juice. Check the tin for any acidity regulator.,No declarable allergens in the typical recipe; check the tin before use.,"Store unopened in a cool, dry place. Refrigerate in a non-metallic container after opening and use promptly.","Use for pasta sauces, curries, soups, stews and casseroles.",A foundational cupboard ingredient that makes scratch cooking easier.,https://www.infinityfoodswholesale.coop/food-cupboard/tomato-products
390115,Passata,"Smooth sieved tomatoes with no pieces, suitable as a ready base for sauces.",Tomatoes. Check the bottle for any added salt or acidity regulator.,No declarable allergens in the typical recipe; check the bottle before use.,Refrigerate after opening and use within the period stated on the bottle.,"Use for pizza, pasta sauces, soups and tomato-based stews.","A simple, quick base for meals without added texture.",https://www.infinityfoodswholesale.coop/food-cupboard/tomato-products
390179,Tomatoes Chopped- 4 Pack,A multipack of organic chopped tomatoes in tomato juice for regular cooking.,Chopped tomatoes; tomato juice. Check the tin for any acidity regulator.,No declarable allergens in the typical recipe; check the tins before use.,"Store unopened in a cool, dry place. Refrigerate leftovers in a non-metallic container.","Use for sauces, curries, soups, stews and casseroles.",A practical multipack of one of the most-used cupboard staples.,https://www.infinityfoodswholesale.coop/food-cupboard/tomato-products
390736,Coconut Milk,Coconut milk for adding richness and a gentle coconut flavour to savoury and sweet dishes.,Coconut extract and water; check the tin for stabilisers or thickeners.,Check the tin for current allergen and additive information.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Use in curries, soups, sauces, rice dishes, baking and desserts.",A useful dairy-free cooking ingredient with broad culinary uses.,https://www.infinityfoodswholesale.coop/food-cupboard/world-foods
441207,Carlin Peas,"Ready-cooked carlin peas with an earthy flavour and firm, satisfying texture.",Carlin peas; water; check the jar or tin for salt.,No declarable allergens in the typical recipe; check the pack before use.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Drain and add to salads, stews, curries or warm grain bowls.",A convenient way to eat a distinctive British-grown pulse.,https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
441215,Fava Beans (broad beans),Ready-cooked fava beans with a creamy interior and earthy flavour.,Fava beans; water; check the jar or tin for salt.,People with favism should avoid fava beans. Check the pack for current allergen advice.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Use in ful, salads, soups, stews or mash with lemon and herbs.",A convenient British pulse that broadens the range beyond standard beans.,https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
444490,Baked Beans,"Beans cooked in a seasoned tomato sauce for a quick, familiar meal.","Beans, tomatoes and seasoning; check the tin for the full current recipe.",Check the tin carefully for current allergen information.,"Store unopened in a cool, dry place. Refrigerate leftovers in a non-metallic container.",Heat and serve on toast or with baked potatoes and simple meals.,An affordable convenience food with useful cupboard life.,https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
444596,Black Beans,"Ready-cooked black beans with a firm texture and mild, earthy flavour.",Black beans; water; check the tin for salt.,No declarable allergens in the typical recipe; check the tin before use.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Add to chilli, tacos, soups, salads and rice dishes.",A convenient protein-rich bean suited to quick meals.,https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
445505,Red Kidney Beans,Ready-cooked kidney beans with a firm texture that holds well in robust dishes.,Red kidney beans; water; check the tin for salt.,No declarable allergens in the typical recipe; check the tin before use.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Add to chilli, curries, salads, soups and bean stews.","A familiar, economical protein source for batch cooking.",https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
445510,Chickpeas,Ready-cooked chickpeas with a firm exterior and creamy centre.,Chickpeas; water; check the tin for salt.,No declarable allergens in the typical recipe; check the tin before use.,"Store unopened in a cool, dry place. Refrigerate after opening and use promptly.","Use for hummus, curries, salads, stews or roasting.",A highly versatile pulse with no soaking or advance cooking required.,https://www.infinityfoodswholesale.coop/food-cupboard/beans-and-pulses-canned-and-jarred
580329,Fairtrade Everyday Tea Bags,A straightforward Fairtrade black tea blend intended for everyday brewing.,Black tea.,No declarable allergens in the ingredients.,Keep dry and away from strong odours.,Brew with freshly boiled water and serve to taste.,An affordable Fairtrade option for a frequently purchased staple.,https://www.infinityfoodswholesale.coop/food-cupboard/teas
601306,Rich Americano R&G Coffee - 4,A rich roast-and-ground coffee blended for a full-bodied Americano-style cup.,Roasted ground coffee.,No declarable allergens in the ingredients.,"Keep airtight in a cool, dry place; use promptly after opening.","Brew in a cafetière, filter machine or other method suitable for the grind.",Locally roasted coffee keeps more value within the regional food economy.,https://www.infinityfoodswholesale.coop/food-cupboard/coffee-and-coffee-substitutes
723550,Barista Oat Milk,Oat drink formulated to steam and foam more reliably for coffee.,"Water, oats and vegetable oil with added minerals or stabilisers; check the carton for the current recipe.",Contains OATS and may contain GLUTEN unless the carton states otherwise.,Store as directed. Refrigerate after opening and use within the stated period.,"Use in coffee, tea, porridge, cereal, sauces and baking. Shake well before use.",A practical plant-based milk designed for the coffee trailer and home use.,https://www.infinityfoodswholesale.coop/food-cupboard/milk-non-dairy
793015,Mushroom Stock Cubes,"Savoury stock cubes with mushroom flavour for adding depth to soups, sauces and grains.","Check the box for the full current recipe, including salt, vegetable fats, yeast extract and mushroom ingredients.","Check the box carefully for CELERY, GLUTEN and other declared allergens.","Store in a cool, dry place.","Dissolve in hot water or crumble into soups, sauces, risotto and stews.",A compact way to add savoury depth to plant-based cooking.,https://www.infinityfoodswholesale.coop/food-cupboard/gravy-stock-and-bouillion
793065,Vegetable Stock Cubes,"General-purpose vegetable stock cubes for soups, sauces, grains and stews.","Check the box for the full current recipe, including salt, vegetables, herbs and vegetable fats.","Check the box carefully for CELERY, GLUTEN and other declared allergens.","Store in a cool, dry place.",Dissolve in hot water or crumble directly into cooking.,A low-cost cupboard basic that supports cooking from scratch.,https://www.infinityfoodswholesale.coop/food-cupboard/gravy-stock-and-bouillion
859193,"Natural Deodorant (Green Fusion, paper tube)","A creamy natural deodorant with green tea, citrus and warm spice notes, supplied in a recyclable paper tube.","Shea butter, sodium bicarbonate, maize starch, cocoa butter, hydrogenated rapeseed oil, plant wax, fragrance, sunflower oil and vitamin E. See the pack for the complete INCI list.","Contains fragrance allergens including citral, coumarin, limonene and linalool.",Keep cool and dry.,"Push gently from the base and apply a thin layer to clean, dry underarms.",A plastic-free personal-care option in a practical paper format.,https://www.infinityfoodswholesale.coop/household-and-non-food/body-care/green-fusion-deodorant-paper-tube-ben-and-anna-1x40g
831400,Dishwasher Tablets,"Pre-dosed dishwasher tablets in a water-soluble film, suitable for septic tanks.","Contains oxygen-based bleaching agents, non-ionic surfactants, enzymes, perfume and d-limonene. See pack for full formulation.",Contains enzymes and fragrance ingredients. Keep away from children and follow all hazard instructions on the pack.,"Store dry, sealed and away from children. Handle with dry hands.",Place one tablet in the detergent dispenser without removing the dissolvable film.,A convenient lower-waste dishwasher option with no individual plastic wrapper to remove.,https://www.infinityfoodswholesale.coop/household-and-non-food/household-cleaning-products/dishwasher-tablets-25-ecoleaf-6x25tab
859162,Soap (Hemp/vit. E),"A glycerine soap with hemp oil and vitamin E for a gentle, moisturising wash.","Glycerine, water, cleansing agents, hemp essential oil and vitamin E. See the pack for the complete INCI list.",Contains wheat-germ-derived vitamin E and surfactants; check the pack for sensitivities.,Keep dry between uses to extend the life of the bar.,Lather onto damp skin and rinse.,A simple unpackaged or minimally packaged alternative to liquid soap.,https://www.infinityfoodswholesale.coop/household-and-non-food/body-care/hemp-oil-and-vitamin-e-glycerine-soap-alter-native-by-suma-12x90g
854307,Shampoo bar (fragrance free),A fragrance-free solid shampoo bar made without palm oil or plastic packaging.,Check the wrap for the full current INCI list.,"Fragrance free, but check the pack for individual ingredient sensitivities. Avoid contact with eyes.",Allow the bar to dry between uses.,"Rub between wet hands or directly over wet hair, work into a lather and rinse thoroughly.","A compact, plastic-free hair-care option suited to people avoiding added fragrance.",https://www.infinityfoodswholesale.coop/price-lists/new-products-and-offers
861506,Toothpaste (Mint with fluoride),Mint toothpaste containing fluoride for everyday cavity protection.,Check the tube for the full current ingredients and fluoride concentration.,Follow the age and use guidance on the tube. Do not swallow.,Keep capped and store at room temperature.,Brush twice daily using the amount advised for the user’s age.,A familiar fluoride toothpaste in the core household range.,https://www.infinityfoodswholesale.coop/household-and-non-food/tooth-care
