Table,Field name,Recommended Baserow type,Required by code,Code usage,Purpose,Options / linked table / formula,Notes
Members,Collection point,Link to table,Yes,Checkout/dashboard,Default collection point,Collection Points; one link,Website can update
Members,Order token expiry,Date/time,No,Authentication,Expiry for secure token,,Blank means no expiry
Members,Account Transactions,Link to table,No,Credit/admin,Backlink to transactions,Account Transactions,
Members,Web Orders,Link to table,No,Order history/admin,Backlink to orders,Web Orders,
Members,Payment reference,Single line text,No,Dashboard/email,Unique BACS payment reference,,Falls back to RC-{row ID}
Members,Mollie payment URL,URL,No,Dashboard,Hosted top-up link,,Code also accepts Online payment URL
Members,Member since,Date,No,Dashboard perks,Membership start date,,Code also accepts Joined date or Join date
Members,Founder badge,Single select,No,Dashboard,Founder badge selection,10; 25; 50 or configured naming,Code also accepts Founder level / Membership badge
Web Orders,Submitted at,Date/time,Yes,Order API/dashboard,Submission timestamp,,
Web Orders,Order source,Single select,Yes,Order API,Origin of order,Website,
Web Orders,Order week,Single line text,Yes,Order API,ISO ordering week,YYYY-Www,Used to prevent duplicate weekly orders
Web Orders,Collection point,Link to table,Yes,Order API/dashboard,Chosen collection point,Collection Points,
Web Orders,Item JSON,Long text,Yes,Automation,Server-generated order lines JSON,,
Web Orders,Stock Movement JSON,Long text,Yes,Automation,Server-generated movement rows JSON,,
Web Orders,Order total,Number,Yes,Order API/dashboard,Total charged,Currency; 2 decimals,
Web Orders,Status,Single select,Yes,Order workflow,Processing state,Processing; Confirmed; Rejected; Cancelled; Ledger error,
Web Orders,Order number,Single line text,Yes,Order workflow,Unique order reference,,Last three digits are customer-facing suffix
Web Orders,Stock Movement,Link to table,No,Administration,Backlink to movements,Stock Movement,
Web Orders,Account Transactions,Link to table,No,Administration,Backlink to ledger transaction,Account Transactions,
Web Orders,Member,Link to table,Yes,Order API,Ordering member,Members,
Web Orders,Email,Email,No,Automation/email,Snapshot of member email,,
Web Orders,Client request ID,Single line text,Yes,Idempotency,Browser request identifier,,Combined with Member
Web Orders,Confirmed at,Date/time,No,Automation,Processing completion time,,
Web Orders,Processing error,Long text,No,Automation/admin,Error details,,
Web Orders,Confirmation email sent,Boolean,No,Automation,Email completion flag,,
Web Orders,Confirmation email sent at,Date/time,No,Automation,Email timestamp,,
Stock Movement,Date,Date/time,Yes,Stock ledger,Movement date/time,,
Stock Movement,Quantity change,Number,Yes,Stock ledger,Signed stock change,,Orders are negative
Stock Movement,Unit price,Number,No,Stock ledger,Unit price at movement,Currency; 2 decimals,
Stock Movement,Movement type,Single select,Yes,Stock ledger,Movement classification,Opening; Delivery; Adjustment; Wastage; Order,
Stock Movement,Product code,Link to table,Yes,Stock ledger/order automation,Affected product,Products,Writable link
Stock Movement,Reference,Single line text,No,Stock ledger,External or manual reference,,
Stock Movement,Order,Link to table,No,Stock ledger,Related web order,Web Orders,Automation may resolve order number
Stock Movement,Notes,Long text,No,Stock ledger,Administrative notes,,
Stock Movement,Product name,Lookup,No,Stock ledger,Product name lookup,Lookup Product code → Product,Do not write
Stock Movement,Idempotency key,Single line text,No,Automation,Prevents duplicate movement creation,,Strongly recommended unique
Stock Movement,Active,Boolean,No,Stock rollup,Whether movement counts in stock,,Defaults true
Account Transactions,Date,Date/time,Yes,Ledger/dashboard,Transaction date,,Code also reads Transaction date/Created on
Account Transactions,Type,Single select,Yes,Ledger/dashboard,Transaction classification,Order charge; Payment; Refund; Adjustment; Xero payment,Order charge required for website
Account Transactions,Amount,Number,Yes,Ledger/dashboard,Signed account amount,Currency; 2 decimals,Order charges negative; payments positive
Account Transactions,Order,Link to table,No,Ledger,Related order,Web Orders,
Account Transactions,Member,Link to table,Yes,Ledger/dashboard,Related member,Members,
Account Transactions,Notes,Long text,No,Dashboard/admin,Transaction description,,Code also reads Description/Reference
Account Transactions,Email,Email,No,Automation/admin,Member email snapshot,,
Account Transactions,Transaction reference,Single line text,No,Dashboard/idempotency,External/internal reference,,
Account Transactions,Included in credit,Boolean,Yes,Credit/dashboard,Whether transaction affects displayed credit,,Defaults true
Account Transactions,Xero Transaction ID,Single line text,No,Xero sync,Xero transaction identifier,,
Account Transactions,Xero Payment ID,Single line text,No,Xero sync,Xero payment identifier,,
Account Transactions,Xero Contact ID,Single line text or Link,No,Xero/member matching,Xero contact identifier,,
Account Transactions,Contact name,Single line text,No,Xero sync,Xero contact display name,,
Account Transactions,Bank account,Single line text,No,Xero sync,Matched bank account,,
Account Transactions,Match status,Single select,No,Xero sync,Matching result,Matched; Unmatched; Review,
Account Transactions,Reconciled,Boolean,No,Xero sync,Xero reconciliation state,,
Account Transactions,Status,Single select,No,Xero sync,Transaction status,Authorised; Paid; Voided; Deleted,Use values returned by integration
Account Transactions,Imported at,Date/time,No,Xero sync,First import timestamp,,
Account Transactions,Last updated from Xero,Date/time,No,Xero sync,Latest refresh timestamp,,
Xero Sync State,Name,Single line text,Yes,Xero sync,State record name,,Primary field
Xero Sync State,Last successful sync,Date/time,No,Xero sync,Most recent completed sync,,
Xero Sync State,Last attempted sync,Date/time,No,Xero sync,Most recent attempt,,
Xero Sync State,Last error,Long text,No,Xero sync,Latest error details,,
Xero Sync State,Tenant ID,Single line text,No,Xero sync,Connected Xero tenant ID,,
Xero Sync State,Consecutive failures,Number,No,Xero sync,Failure counter,,Integer
Xero Sync State,Connection status,Single select,No,Xero sync,Connection health,Connected; Warning; Error; Disconnected,
Interface Content,,,Yes,,,,
Interface Content,,,No,,,,
Interface Content,,,No,,,,
Interface Content,,,Yes,,,,
